Date,Open,High,Low,Close,Adj_Close,Volume,Year,Month,Day,Weekday,Daily_Range,SMA_20,SMA_50,SMA_200,EMA_20,Daily_Return,Log_Return,Cumulative_Return,Rolling_Vol_20,Signal,Golden_Cross,Death_Cross
2023-12-07,193.63,195.0,193.59,194.27,192.2726,47477700,2023,12,7,Thursday,1.41,189.601,180.9752,176.0961,188.7399,0.010139,0.010088,3.511104,0.145509,BUY,0,0
2023-12-08,194.2,195.99,193.67,195.71,193.6978,53406400,2023,12,8,Friday,2.32,190.266,181.4756,176.3276,189.4037,0.007412,0.007385,3.54454,0.144665,BUY,0,0
2023-12-11,193.11,193.49,191.42,193.18,191.1938,60943700,2023,12,11,Monday,2.07,190.605,181.915,176.56,189.7634,-0.012927,-0.013012,3.485793,0.138872,BUY,0,0
2023-12-12,193.08,194.72,191.72,194.71,192.708,52696900,2023,12,12,Tuesday,3.0,191.1005,182.3342,176.794,190.2345,0.00792,0.007889,3.521321,0.134762,BUY,0,0
2023-12-13,195.09,198.0,194.85,197.96,195.9246,70404200,2023,12,13,Wednesday,3.15,191.6265,182.8454,177.0467,190.9703,0.016691,0.016554,3.596786,0.137753,BUY,0,0
2023-12-14,198.02,199.62,196.16,198.11,196.0731,66831600,2023,12,14,Thursday,3.46,192.1315,183.3344,177.3107,191.6502,0.000758,0.000757,3.60027,0.137932,BUY,0,0
2023-12-15,197.53,198.4,197.0,197.57,195.5387,128538400,2023,12,15,Friday,1.4,192.5245,183.7876,177.569,192.214,-0.002726,-0.002729,3.58773,0.137027,BUY,0,0
2023-12-18,196.09,196.63,194.39,195.89,193.8759,55751900,2023,12,18,Monday,2.24,192.8345,184.1556,177.7933,192.5641,-0.008503,-0.00854,3.548721,0.141947,BUY,0,0
2023-12-19,196.16,196.95,195.89,196.94,194.9151,40714100,2023,12,19,Tuesday,1.06,193.109,184.5146,178.0089,192.9809,0.00536,0.005346,3.573102,0.139819,BUY,0,0
2023-12-20,196.9,197.68,194.83,194.83,192.8268,52242800,2023,12,20,Wednesday,2.85,193.3185,184.8434,178.225,193.157,-0.010714,-0.010772,3.524105,0.145107,BUY,0,0
2023-12-21,196.1,197.08,193.5,194.68,192.6783,46482500,2023,12,21,Thursday,3.58,193.487,185.141,178.434,193.302,-0.00077,-0.00077,3.520622,0.144969,BUY,0,0
2023-12-22,195.18,195.41,192.97,193.6,191.6095,37149600,2023,12,22,Friday,2.44,193.6685,185.3988,178.6491,193.3304,-0.005548,-0.005563,3.495541,0.144003,BUY,0,0
2023-12-26,193.61,193.89,192.83,193.05,191.0651,28919300,2023,12,26,Tuesday,1.06,193.8315,185.6828,178.8718,193.3037,-0.002841,-0.002845,3.48277,0.144497,BUY,0,0
2023-12-27,192.49,193.5,191.09,193.15,191.1641,48087700,2023,12,27,Wednesday,2.41,193.969,185.9714,179.0852,193.2891,0.000518,0.000518,3.485092,0.144238,BUY,0,0
2023-12-28,194.14,194.66,193.17,193.58,191.5897,34049900,2023,12,28,Thursday,1.49,194.1795,186.3,179.2902,193.3168,0.002226,0.002224,3.495076,0.142444,BUY,0,0
2023-12-29,193.9,194.4,191.73,192.53,190.5505,42672100,2023,12,29,Friday,2.67,194.3085,186.6338,179.4879,193.2418,-0.005424,-0.005439,3.470694,0.144099,BUY,0,0
2024-01-02,187.15,188.44,183.89,185.64,183.7313,82488700,2024,1,2,Tuesday,4.55,194.0285,186.8374,179.6368,192.5179,-0.035787,-0.036443,3.310702,0.191685,BUY,0,0
2024-01-03,184.22,185.88,183.43,184.25,182.3556,58414500,2024,1,3,Wednesday,2.45,193.7695,187.0648,179.7831,191.7304,-0.007488,-0.007516,3.278423,0.190709,BUY,0,0
2024-01-04,182.15,183.09,180.88,181.91,180.0397,71983600,2024,1,4,Thursday,2.21,193.194,187.243,179.9057,190.7952,-0.0127,-0.012781,3.224087,0.175186,BUY,0,0
2024-01-05,181.99,182.76,180.17,181.18,179.3172,62379700,2024,1,5,Friday,2.59,192.637,187.3978,180.0152,189.8794,-0.004013,-0.004021,3.207136,0.174947,BUY,0,0
2024-01-08,182.09,185.6,181.5,185.56,183.6521,59144500,2024,1,8,Monday,4.1,192.2015,187.687,180.1538,189.4681,0.024175,0.023887,3.308843,0.194811,BUY,0,0
2024-01-09,183.92,185.15,182.73,185.14,183.2364,42841800,2024,1,9,Tuesday,2.42,191.673,188.052,180.2848,189.0559,-0.002263,-0.002266,3.299092,0.191465,BUY,0,0
2024-01-10,184.35,186.4,183.92,186.19,184.2757,46792900,2024,1,10,Wednesday,2.48,191.3235,188.4114,180.4146,188.7829,0.005671,0.005655,3.323473,0.189666,BUY,0,0
2024-01-11,186.54,187.05,183.62,185.59,183.6818,49128400,2024,1,11,Thursday,3.43,190.8675,188.7174,180.5511,188.4788,-0.003223,-0.003228,3.309538,0.186205,BUY,0,0
2024-01-12,186.06,186.74,185.19,185.92,184.0084,40477800,2024,1,12,Friday,1.55,190.2655,189.0204,180.6924,188.2351,0.001778,0.001777,3.3172,0.173061,BUY,0,0
2024-01-16,182.16,184.26,180.93,183.63,181.742,65603000,2024,1,16,Tuesday,3.33,189.5415,189.2136,180.8068,187.7966,-0.012317,-0.012394,3.264025,0.175427,BUY,0,0
2024-01-17,181.27,182.93,180.3,182.68,180.8017,47317400,2024,1,17,Wednesday,2.63,188.797,189.3158,180.9084,187.3093,-0.005173,-0.005187,3.241968,0.175456,SELL,0,1
2024-01-18,186.09,189.14,185.83,188.63,186.6906,78005800,2024,1,18,Thursday,3.31,188.434,189.5554,181.027,187.435,0.032571,0.032051,3.380133,0.216736,SELL,0,0
2024-01-19,189.33,191.95,188.82,191.56,189.5905,68903000,2024,1,19,Friday,3.13,188.165,189.802,181.154,187.8279,0.015533,0.015414,3.448169,0.224076,SELL,0,0
2024-01-22,192.3,195.33,192.26,193.89,191.8965,60133900,2024,1,22,Monday,3.07,188.118,190.0434,181.2952,188.4052,0.012163,0.01209,3.502272,0.22602,SELL,0,0
2024-01-23,195.02,195.75,193.83,195.18,193.1732,42355600,2024,1,23,Tuesday,1.92,188.143,190.2892,181.4523,189.0505,0.006653,0.006631,3.532226,0.22728,SELL,0,0
2024-01-24,195.42,196.38,194.34,194.5,192.5002,53631300,2024,1,24,Wednesday,2.04,188.188,190.531,181.6015,189.5695,-0.003484,-0.00349,3.516436,0.226702,SELL,0,0
2024-01-25,195.22,196.27,193.11,194.17,192.1736,54822100,2024,1,25,Thursday,3.16,188.244,190.6864,181.7623,190.0076,-0.001697,-0.001698,3.508771,0.226526,SELL,0,0
2024-01-26,194.27,194.76,191.94,192.42,190.4416,44594000,2024,1,26,Friday,2.82,188.2075,190.8388,181.9203,190.2374,-0.009013,-0.009054,3.468134,0.228966,SELL,0,0
2024-01-29,192.01,192.2,189.58,191.73,189.7587,47145600,2024,1,29,Monday,2.62,188.115,190.9246,182.0785,190.3795,-0.003586,-0.003592,3.452111,0.229115,SELL,0,0
2024-01-30,190.94,191.8,187.47,188.04,186.1066,55859400,2024,1,30,Tuesday,4.33,187.8905,190.9252,182.1909,190.1567,-0.019246,-0.019433,3.366426,0.238223,SELL,0,0
2024-01-31,187.04,187.1,184.35,184.4,182.5041,55467800,2024,1,31,Wednesday,2.75,187.8285,190.819,182.2869,189.6084,-0.019358,-0.019547,3.2819,0.212184,SELL,0,0
2024-02-01,183.99,186.95,183.82,186.86,184.9388,64885400,2024,2,1,Thursday,3.13,187.959,190.7624,182.395,189.3467,0.013341,0.013252,3.339025,0.215616,SELL,0,0
2024-02-02,179.86,187.33,179.25,185.85,183.9391,102551700,2024,2,2,Friday,8.08,188.156,190.6504,182.4919,189.0137,-0.005405,-0.00542,3.315573,0.211069,SELL,0,0
2024-02-05,188.15,189.25,185.84,187.68,185.7503,69668800,2024,2,5,Monday,3.41,188.481,190.5912,182.5922,188.8867,0.009847,0.009798,3.358068,0.212298,SELL,0,0
2024-02-06,186.86,189.31,186.77,189.3,187.3537,43490800,2024,2,6,Tuesday,2.54,188.668,190.551,182.7054,188.926,0.008632,0.008595,3.395687,0.197254,SELL,0,0
2024-02-07,190.64,191.05,188.61,189.41,187.4626,53439000,2024,2,7,Wednesday,2.44,188.8815,190.5398,182.8274,188.9721,0.000581,0.000581,3.398241,0.196874,SELL,0,0
2024-02-08,189.39,189.54,187.35,188.32,186.3837,40962000,2024,2,8,Thursday,2.19,188.988,190.5104,182.9423,188.91,-0.005755,-0.005771,3.372929,0.197619,SELL,0,0
2024-02-09,188.65,189.99,188.0,188.85,187.1468,45155200,2024,2,9,Friday,1.99,189.151,190.4794,183.0677,188.9043,0.002814,0.00281,3.385235,0.197215,SELL,0,0
2024-02-12,188.42,188.67,186.79,187.15,185.4621,41781900,2024,2,12,Monday,1.88,189.2125,190.435,183.1846,188.7372,-0.009002,-0.009043,3.345759,0.200298,SELL,0,0
2024-02-13,185.77,186.21,183.51,185.04,183.3712,56529500,2024,2,13,Tuesday,2.7,189.283,190.3368,183.2678,188.3851,-0.011274,-0.011338,3.296765,0.199452,SELL,0,0
2024-02-14,185.32,185.53,182.44,184.15,182.4892,54630500,2024,2,14,Wednesday,3.09,189.3565,190.195,183.3402,187.9818,-0.00481,-0.004821,3.276097,0.19932,SELL,0,0
2024-02-15,183.55,184.49,181.35,183.86,182.2018,65434500,2024,2,15,Thursday,3.14,189.118,190.0836,183.4115,187.5892,-0.001575,-0.001576,3.269362,0.159211,SELL,0,0
2024-02-16,183.42,184.85,181.67,182.31,180.6658,49752500,2024,2,16,Friday,3.18,188.6555,189.8614,183.4803,187.0864,-0.00843,-0.008466,3.233372,0.148077,SELL,0,0
2024-02-20,181.79,182.43,180.0,181.56,179.9225,53665600,2024,2,20,Tuesday,2.43,188.039,189.6462,183.5509,186.5601,-0.004114,-0.004122,3.215955,0.13771,SELL,0,0
2024-02-21,181.94,182.89,180.66,182.32,180.6757,41371400,2024,2,21,Wednesday,2.23,187.396,189.4072,183.6336,186.1563,0.004186,0.004177,3.233603,0.135621,SELL,0,0
2024-02-22,183.48,184.96,182.46,184.37,182.7072,52292200,2024,2,22,Thursday,2.5,186.8895,189.1804,183.6875,185.9862,0.011244,0.011181,3.281206,0.145192,SELL,0,0
2024-02-23,185.01,185.04,182.23,182.52,180.8739,45119700,2024,2,23,Friday,2.81,186.307,188.9672,183.7326,185.656,-0.010034,-0.010085,3.238249,0.147478,SELL,0,0
2024-02-26,182.24,182.76,180.65,181.16,179.5262,40867400,2024,2,26,Monday,2.11,185.744,188.6962,183.7796,185.2279,-0.007451,-0.007479,3.206669,0.146743,SELL,0,0
2024-02-27,181.1,183.92,179.56,182.63,180.9829,54318900,2024,2,27,Tuesday,4.36,185.289,188.3896,183.825,184.9804,0.008114,0.008082,3.240802,0.151878,SELL,0,0
2024-02-28,182.51,183.12,180.13,181.42,179.7838,48953900,2024,2,28,Wednesday,2.99,184.958,188.0558,183.8633,184.6414,-0.006625,-0.006647,3.212707,0.139388,SELL,0,0
2024-02-29,181.27,182.57,179.53,180.75,179.1199,136682600,2024,2,29,Thursday,3.04,184.7755,187.7194,183.9042,184.2707,-0.003693,-0.0037,3.197149,0.123312,SELL,0,0
2024-03-01,179.55,180.53,177.38,179.66,178.0397,73563100,2024,3,1,Friday,3.15,184.4155,187.3948,183.9422,183.8316,-0.00603,-0.006049,3.171841,0.112161,SELL,0,0
2024-03-04,176.15,176.9,173.79,175.1,173.5208,81510100,2024,3,4,Monday,3.11,183.878,186.958,183.9573,183.0,-0.025381,-0.025709,3.065955,0.139444,SELL,0,0
2024-03-05,170.76,172.04,169.62,170.12,168.5857,95132400,2024,3,5,Tuesday,2.42,183.0,186.4638,183.9444,181.7734,-0.028441,-0.028853,2.950315,0.157896,SELL,0,0
2024-03-06,171.06,171.24,168.68,169.12,167.5947,68587700,2024,3,6,Wednesday,2.56,181.991,185.9526,183.9148,180.5683,-0.005878,-0.005896,2.927095,0.149645,SELL,0,0
2024-03-07,169.15,170.73,168.49,169.0,167.4759,71765100,2024,3,7,Thursday,2.24,180.9705,185.4606,183.884,179.4665,-0.00071,-0.00071,2.924307,0.14901,SELL,0,0
2024-03-08,169.0,173.7,168.94,170.73,169.1902,76267000,2024,3,8,Friday,4.76,180.091,185.0142,183.8666,178.6345,0.010237,0.010185,2.96448,0.159306,SELL,0,0
