Date,Open,High,Low,Close,Adj_Close,Volume,Year,Month,Day,Weekday,Daily_Range,SMA_20,SMA_50,SMA_200,EMA_20,Daily_Return,Log_Return,Cumulative_Return,Rolling_Vol_20,Signal,Golden_Cross,Death_Cross
2020-02-27,67.957,68.47,65.712,65.7475,65.2085,62290000,2020,2,27,Thursday,2.758,73.355,71.4808,62.8794,72.4334,-0.054313,-0.055843,0.225252,0.33284,BUY,0,0
2020-02-28,63.7155,67.1225,63.4105,66.9625,66.4136,80198000,2020,2,28,Friday,3.712,73.0675,71.4593,62.933,71.9124,0.01848,0.018311,0.247895,0.342961,BUY,0,0
2020-03-02,67.5695,69.3735,66.26,69.316,68.7478,55430000,2020,3,2,Monday,3.1135,72.9514,71.4907,62.9868,71.6651,0.035147,0.034543,0.291755,0.36689,BUY,0,0
2020-03-03,69.884,70.4095,66.462,66.886,66.3377,56602000,2020,3,3,Tuesday,3.9475,72.5891,71.4765,63.0251,71.21,-0.035057,-0.035686,0.24647,0.359254,BUY,0,0
2020-03-04,67.948,69.139,66.85,69.08,68.5137,47598000,2020,3,4,Wednesday,2.289,72.4296,71.5017,63.0783,71.0071,0.032802,0.032276,0.287356,0.374517,BUY,0,0
2020-03-05,67.2775,67.6815,65.082,65.738,65.1991,54380000,2020,3,5,Thursday,2.5995,72.1014,71.4652,63.1209,70.5053,-0.048379,-0.049588,0.225075,0.408838,BUY,0,0
2020-03-06,63.4975,65.1375,62.8605,64.787,64.2559,64640000,2020,3,6,Friday,2.277,71.6508,71.4103,63.1562,69.9607,-0.014467,-0.014572,0.207352,0.399119,BUY,0,0
2020-03-09,60.248,62.6365,59.902,60.7895,60.2912,69252000,2020,3,9,Monday,2.7345,70.9925,71.2817,63.1712,69.0872,-0.061702,-0.063688,0.132856,0.443344,SELL,0,1
2020-03-10,62.7195,63.7925,60.7255,63.7585,63.2359,54872000,2020,3,10,Tuesday,3.067,70.4088,71.1944,63.2036,68.5797,0.048841,0.047685,0.188186,0.479089,SELL,0,0
2020-03-11,62.4135,62.8465,59.557,60.545,60.0487,54732000,2020,3,11,Wednesday,3.2895,69.6609,71.0507,63.2217,67.8145,-0.050401,-0.051716,0.1283,0.500656,SELL,0,0
2020-03-12,56.131,59.4375,55.4235,55.5775,55.1219,94326000,2020,3,12,Thursday,4.014,68.6432,70.8225,63.2147,66.6491,-0.082046,-0.085608,0.035728,0.556751,SELL,0,0
2020-03-13,58.7495,60.72,55.6145,60.7135,60.2158,79400000,2020,3,13,Friday,5.1055,67.8954,70.6974,63.2383,66.0838,0.092411,0.088388,0.13144,0.674419,SELL,0,0
2020-03-16,54.4805,57.2735,53.354,53.65,53.2102,96520000,2020,3,16,Monday,3.9195,66.7811,70.4017,63.2262,64.8996,-0.116342,-0.123685,-0.000194,0.769787,SELL,0,0
2020-03-17,54.532,56.3,52.455,55.903,55.4448,83194000,2020,3,17,Tuesday,3.845,65.7776,70.1582,63.2291,64.0428,0.041994,0.041137,0.041792,0.795322,SELL,0,0
2020-03-18,52.997,55.2495,51.85,54.5595,54.1123,93044000,2020,3,18,Wednesday,3.3995,64.6934,69.8516,63.2422,63.1396,-0.024033,-0.024326,0.016755,0.79326,SELL,0,0
2020-03-19,54.411,57.6305,52.7775,55.5835,55.1279,74064000,2020,3,19,Thursday,4.853,63.6801,69.5682,63.2565,62.42,0.018769,0.018595,0.035838,0.801856,SELL,0,0
2020-03-20,56.545,56.924,53.105,53.4105,52.9727,82878000,2020,3,20,Friday,3.819,62.642,69.2314,63.2624,61.562,-0.039094,-0.039879,-0.004657,0.806334,SELL,0,0
2020-03-23,52.8185,53.3455,50.4435,52.7065,52.2745,83672000,2020,3,23,Monday,2.902,61.7277,68.8657,63.264,60.7186,-0.013181,-0.013269,-0.017776,0.799603,SELL,0,0
2020-03-24,55.199,56.6665,54.3215,56.5005,56.0374,72468000,2020,3,24,Tuesday,2.345,61.0869,68.5668,63.2794,60.3169,0.071984,0.069511,0.052928,0.853825,SELL,0,0
2020-03-25,56.229,57.3085,54.1505,55.081,54.6295,90324000,2020,3,25,Wednesday,3.158,60.3648,68.2283,63.2841,59.8182,-0.025124,-0.025445,0.026474,0.854516,SELL,0,0
2020-03-26,55.736,58.574,54.6015,58.146,57.6694,76562000,2020,3,26,Thursday,3.9725,59.9847,67.9607,63.3046,59.6589,0.055645,0.054152,0.083592,0.868235,SELL,0,0
2020-03-27,56.3735,57.5525,55.2,55.513,55.0579,62794000,2020,3,27,Friday,2.3525,59.4122,67.6317,63.3124,59.2641,-0.045283,-0.04634,0.034524,0.875142,SELL,0,0
2020-03-30,56.632,57.55,54.9245,57.3155,56.8457,58736000,2020,3,30,Monday,2.6255,58.8122,67.3279,63.3262,59.0785,0.03247,0.031954,0.068115,0.873447,SELL,0,0
2020-03-31,57.4365,58.67,56.836,58.0975,57.6213,65228000,2020,3,31,Tuesday,1.834,58.3728,67.0103,63.3451,58.9851,0.013644,0.013552,0.082688,0.870547,SELL,0,0
2020-04-01,56.2,56.471,54.6745,55.105,54.6533,51970000,2020,4,1,Wednesday,1.7965,57.674,66.6302,63.3471,58.6156,-0.051508,-0.052882,0.026921,0.87269,SELL,0,0
2020-04-02,55.0,56.1385,54.6565,55.8515,55.3937,56410000,2020,4,2,Thursday,1.482,57.1797,66.2633,63.3501,58.3523,0.013547,0.013456,0.040833,0.864013,SELL,0,0
2020-04-03,55.7355,55.9395,53.754,54.635,54.1871,51374000,2020,4,3,Friday,2.1855,56.6721,65.8713,63.3471,57.9983,-0.021781,-0.022022,0.018163,0.865275,SELL,0,0
2020-04-06,56.65,59.5375,56.25,59.1595,58.6746,63320000,2020,4,6,Monday,3.2875,56.5906,65.5884,63.3646,58.1089,0.082813,0.079562,0.10248,0.895755,SELL,0,0
2020-04-07,60.8505,61.039,58.8625,59.128,58.6433,61620000,2020,4,7,Tuesday,2.1765,56.3591,65.3392,63.3789,58.2059,-0.000532,-0.000533,0.101893,0.877122,SELL,0,0
2020-04-08,60.155,60.745,59.1975,60.35,59.8553,40334000,2020,4,8,Wednesday,1.5475,56.3493,65.0957,63.4015,58.4101,0.020667,0.020456,0.124666,0.861573,SELL,0,0
2020-04-09,60.909,61.0995,59.621,60.3285,59.834,54028000,2020,4,9,Thursday,1.4785,56.5869,64.8455,63.4313,58.5928,-0.000356,-0.000356,0.124266,0.803674,SELL,0,0
2020-04-13,60.075,60.726,59.1165,60.5205,60.0244,38702000,2020,4,13,Monday,1.6095,56.5772,64.6017,63.4638,58.7764,0.003183,0.003178,0.127844,0.734922,SELL,0,0
2020-04-14,61.9985,63.7875,61.427,63.2615,62.7429,63358000,2020,4,14,Tuesday,2.3605,57.0578,64.4342,63.5109,59.2036,0.04529,0.044295,0.178924,0.605574,SELL,0,0
2020-04-15,62.3255,63.7555,61.7,62.865,62.3497,42236000,2020,4,15,Wednesday,2.0555,57.4059,64.2089,63.5546,59.5523,-0.006268,-0.006287,0.171535,0.594787,SELL,0,0
2020-04-16,63.357,63.668,61.91,62.8715,62.3561,57896000,2020,4,16,Thursday,1.758,57.8215,64.0209,63.5939,59.8684,0.000103,0.000103,0.171655,0.584411,SELL,0,0
2020-04-17,64.085,64.5,63.3,63.95,63.4258,51050000,2020,4,17,Friday,1.2,58.2398,63.8538,63.6355,60.2571,0.017154,0.017009,0.191754,0.584035,SELL,0,0
2020-04-20,63.4945,63.841,62.822,63.0575,62.5406,35292000,2020,4,20,Monday,1.019,58.7222,63.639,63.67,60.5238,-0.013956,-0.014055,0.175122,0.563806,SELL,0,0
2020-04-21,62.1355,62.5,60.25,60.608,60.1112,49648000,2020,4,21,Tuesday,2.25,59.1172,63.3721,63.6899,60.5318,-0.038845,-0.03962,0.129474,0.584145,SELL,0,0
2020-04-22,62.0555,63.994,61.86,62.9205,62.4047,46296000,2020,4,22,Wednesday,2.134,59.4382,63.1218,63.7253,60.7593,0.038155,0.037445,0.172569,0.545809,SELL,0,0
2020-04-23,63.287,64.4075,63.0265,63.5585,63.0375,34202000,2020,4,23,Thursday,1.381,59.8621,62.8829,63.762,61.0259,0.01014,0.010089,0.184459,0.533392,SELL,0,0
2020-04-24,62.75,63.8855,62.2,63.83,63.3068,37402000,2020,4,24,Friday,1.6855,60.1463,62.6409,63.796,61.293,0.004272,0.004263,0.189519,0.502438,SELL,0,0
2020-04-27,64.6,64.705,63.253,63.543,63.0221,44186000,2020,4,27,Monday,1.452,60.5478,62.3984,63.8277,61.5073,-0.004496,-0.004506,0.184171,0.467809,SELL,0,0
2020-04-28,64.16,64.238,61.519,61.6295,61.1243,80700000,2020,4,28,Tuesday,2.719,60.7635,62.1122,63.8495,61.5189,-0.030113,-0.030576,0.148512,0.475625,SELL,0,0
2020-04-29,67.25,68.0075,66.3365,67.109,66.5589,108358000,2020,4,29,Wednesday,1.671,61.2141,61.935,63.8974,62.0513,0.08891,0.085178,0.250626,0.562797,SELL,0,0
2020-04-30,66.568,67.5,66.075,67.335,66.783,55842000,2020,4,30,Thursday,1.425,61.8256,61.7568,63.9457,62.5545,0.003368,0.003362,0.254838,0.518,BUY,1,0
2020-05-01,66.2045,67.5715,65.483,65.866,65.3261,48872000,2020,5,1,Friday,2.0885,62.3263,61.5571,63.9883,62.8699,-0.021816,-0.022058,0.227463,0.53036,BUY,0,0
2020-05-04,65.4065,66.2235,64.8005,66.145,65.6028,30806000,2020,5,4,Monday,1.423,62.9018,61.3966,64.0323,63.1818,0.004236,0.004227,0.232662,0.518372,BUY,0,0
2020-05-05,66.875,68.5505,66.7515,67.451,66.8981,39666000,2020,5,5,Tuesday,1.799,63.3164,61.3257,64.0866,63.5884,0.019745,0.019552,0.257001,0.444042,BUY,0,0
2020-05-06,67.9,68.4345,67.2565,67.2715,66.7201,31732000,2020,5,6,Wednesday,1.178,63.7236,61.2848,64.1382,63.9392,-0.002661,-0.002665,0.253656,0.444581,BUY,0,0
2020-05-07,68.0655,68.8,67.627,68.464,67.9028,30652000,2020,5,7,Thursday,1.173,64.1293,61.2636,64.1935,64.3701,0.017727,0.017571,0.27588,0.443489,BUY,0,0
2020-05-08,69.091,69.832,68.6005,69.217,68.6496,33326000,2020,5,8,Friday,1.2315,64.5737,61.333,64.2546,64.8317,0.010998,0.010938,0.289912,0.442928,BUY,0,0
2020-05-11,68.8395,70.7765,68.775,70.1795,69.6042,32718000,2020,5,11,Monday,2.0015,65.0566,61.3974,64.3216,65.341,0.013906,0.01381,0.30785,0.443255,BUY,0,0
2020-05-12,70.411,70.7165,68.7255,68.759,68.1954,33918000,2020,5,12,Tuesday,1.991,65.3315,61.3862,64.354,65.6665,-0.020241,-0.020449,0.281378,0.430583,BUY,0,0
2020-05-13,68.808,69.2665,66.4005,67.4165,66.8639,40368000,2020,5,13,Wednesday,2.866,65.5591,61.3968,64.3807,65.8332,-0.019525,-0.019718,0.256359,0.437503,BUY,0,0
2020-05-14,66.676,67.8685,66.165,67.843,67.2869,36660000,2020,5,14,Thursday,1.7035,65.8077,61.3721,64.4129,66.0246,0.006326,0.006306,0.264306,0.437353,BUY,0,0
2020-05-15,67.413,68.729,66.95,68.653,68.0902,41544000,2020,5,15,Friday,1.779,66.0428,61.4304,64.4516,66.2749,0.011939,0.011869,0.279401,0.435687,BUY,0,0
2020-05-18,68.079,69.638,67.71,69.259,68.6913,47094000,2020,5,18,Monday,1.928,66.3529,61.5198,64.495,66.5591,0.008827,0.008788,0.290694,0.430778,BUY,0,0
2020-05-19,69.274,69.6245,68.688,68.72,68.1567,31586000,2020,5,19,Tuesday,0.9365,66.7585,61.6784,64.5395,66.7649,-0.007782,-0.007813,0.28065,0.401952,BUY,0,0
2020-05-20,69.458,70.6015,69.371,70.458,69.8804,38262000,2020,5,20,Wednesday,1.2305,67.1354,61.8124,64.6031,67.1167,0.025291,0.024977,0.313039,0.391,BUY,0,0
2020-05-21,70.5495,70.823,69.7195,70.3375,69.7609,30894000,2020,5,21,Thursday,1.1035,67.4743,62.0083,64.662,67.4234,-0.00171,-0.001712,0.310794,0.391579,BUY,0,0
2020-05-22,70.195,70.85,69.7975,70.662,70.0828,28544000,2020,5,22,Friday,1.0525,67.8159,62.31,64.7213,67.7318,0.004613,0.004603,0.31684,0.391568,BUY,0,0
2020-05-26,72.098,72.2555,70.97,71.0685,70.4859,44590000,2020,5,26,Tuesday,1.2855,68.1922,62.5171,64.7751,68.0496,0.005753,0.005736,0.324416,0.389827,BUY,0,0
2020-05-27,71.0,71.2675,69.73,71.014,70.4319,31684000,2020,5,27,Wednesday,1.5375,68.6614,62.8644,64.833,68.3319,-0.000767,-0.000767,0.3234,0.367138,BUY,0,0
2020-05-28,70.0,72.223,69.954,70.912,70.3307,35170000,2020,5,28,Thursday,2.269,68.8516,63.1645,64.8939,68.5777,-0.001436,-0.001437,0.3215,0.205403,BUY,0,0
2020-05-29,71.0215,71.8365,70.799,71.676,71.0885,37044000,2020,5,29,Friday,1.0375,69.0686,63.5069,64.9531,68.8727,0.010774,0.010716,0.335738,0.207329,BUY,0,0
2020-06-01,71.285,72.079,71.114,71.7435,71.1554,25162000,2020,6,1,Monday,0.965,69.3625,63.8301,65.0207,69.1461,0.000942,0.000941,0.336996,0.185482,BUY,0,0
2020-06-02,71.75,72.15,71.0805,72.1155,71.5244,23442000,2020,6,2,Tuesday,1.0695,69.661,64.2042,65.089,69.4289,0.005185,0.005172,0.343928,0.185505,BUY,0,0
2020-06-03,72.135,72.4505,71.581,71.9625,71.3726,27732000,2020,6,3,Wednesday,0.8695,69.8866,64.5893,65.154,69.6702,-0.002122,-0.002124,0.341076,0.177576,BUY,0,0
2020-06-04,71.839,72.066,70.3005,70.715,70.1353,26982000,2020,6,4,Thursday,1.7655,70.0588,64.8736,65.2075,69.7697,-0.017335,-0.017487,0.317829,0.191226,BUY,0,0
2020-06-05,70.782,72.315,70.381,72.001,71.4108,42642000,2020,6,5,Friday,1.934,70.2356,65.212,65.2716,69.9822,0.018186,0.018022,0.341795,0.191715,BUY,0,0
2020-06-08,71.314,72.45,71.224,72.402,71.8085,33878000,2020,6,8,Monday,1.226,70.3949,65.4971,65.3357,70.2127,0.005569,0.005554,0.349267,0.189513,BUY,0,0
2020-06-09,72.262,73.39,72.118,72.604,72.0088,33624000,2020,6,9,Tuesday,1.272,70.5161,65.8389,65.4008,70.4404,0.00279,0.002786,0.353032,0.184542,BUY,0,0
2020-06-10,73.0755,73.6385,72.718,73.235,72.6347,31762000,2020,6,10,Wednesday,0.9205,70.7399,66.1573,65.4786,70.7066,0.008691,0.008653,0.364791,0.166478,BUY,0,0
2020-06-11,72.0515,72.58,69.9205,70.095,69.5204,47144000,2020,6,11,Thursday,2.6595,70.8738,66.3973,65.5363,70.6483,-0.042876,-0.043822,0.306274,0.220608,BUY,0,0
2020-06-12,71.293,71.7255,69.29,70.646,70.0669,36676000,2020,6,12,Friday,2.4355,71.014,66.7081,65.5968,70.6481,0.007861,0.00783,0.316543,0.221071,BUY,0,0
