Date,Open,High,Low,Close,Adj_Close,Volume,Year,Month,Day,Weekday,Daily_Range,SMA_20,SMA_50,SMA_200,EMA_20,Daily_Return,Log_Return,Cumulative_Return,Rolling_Vol_20,Signal,Golden_Cross,Death_Cross
2018-06-13,101.72,102.01,100.56,100.85,93.3808,29492900,2018,6,13,Wednesday,1.45,99.439,96.5146,,99.694,-0.004541,-0.004551,0.173353,0.132781,BUY,0,0
2018-06-14,101.65,102.03,101.0,101.42,93.9086,25691800,2018,6,14,Thursday,1.03,99.6525,96.6964,,99.8583,0.005652,0.005636,0.179984,0.132745,BUY,0,0
2018-06-15,101.51,101.53,100.07,100.13,92.7141,65738600,2018,6,15,Friday,1.46,99.85,96.8514,,99.8842,-0.012719,-0.012801,0.164976,0.136375,BUY,0,0
2018-06-18,100.01,101.11,99.42,100.86,93.39,23586000,2018,6,18,Monday,1.69,100.075,97.064,,99.9771,0.007291,0.007264,0.17347,0.137632,BUY,0,0
2018-06-19,99.65,101.0,99.5,100.86,93.39,28653100,2018,6,19,Tuesday,1.5,100.238,97.2658,,100.0612,0.0,0.0,0.17347,0.132017,BUY,0,0
2018-06-20,101.37,102.52,101.12,101.87,94.3252,26180800,2018,6,20,Wednesday,1.4,100.4565,97.4456,,100.2335,0.010014,0.009964,0.185221,0.134807,BUY,0,0
2018-06-21,102.08,102.46,100.88,101.14,93.6493,23198200,2018,6,21,Thursday,1.58,100.5805,97.6312,,100.3198,-0.007166,-0.007192,0.176728,0.133652,BUY,0,0
2018-06-22,100.41,100.77,99.63,100.41,92.9734,38923100,2018,6,22,Friday,1.14,100.6855,97.7678,,100.3284,-0.007218,-0.007244,0.168234,0.136022,BUY,0,0
2018-06-25,100.0,100.11,97.3,98.39,91.103,35433300,2018,6,25,Monday,2.81,100.687,97.874,,100.1438,-0.020118,-0.020323,0.144732,0.155506,BUY,0,0
2018-06-26,98.82,100.08,98.75,99.08,91.7419,26897200,2018,6,26,Tuesday,1.33,100.7405,97.9722,,100.0425,0.007013,0.006988,0.15276,0.156765,BUY,0,0
2018-06-27,99.58,100.02,97.4,97.54,90.3159,31298400,2018,6,27,Wednesday,2.62,100.67,98.0016,,99.8042,-0.015543,-0.015665,0.134842,0.162891,BUY,0,0
2018-06-28,97.38,99.11,97.26,98.63,91.3252,26650700,2018,6,28,Thursday,1.85,100.6595,98.0454,,99.6923,0.011175,0.011113,0.147524,0.168199,BUY,0,0
