Date,Open,High,Low,Close,Adj_Close,Volume,Year,Month,Day,Weekday,Daily_Range
2019-05-15,46.5675,47.9375,46.505,47.73,45.7106,106178800,2019,5,15,Wednesday,1.4325
2019-05-16,47.4775,48.1175,47.21,47.52,45.5094,132125600,2019,5,16,Thursday,0.9075
2019-05-17,46.7325,47.725,46.69,47.25,45.2509,131516400,2019,5,17,Friday,1.035
2019-05-20,45.88,46.0875,45.07,45.7725,43.8359,154449200,2019,5,20,Monday,1.0175
2019-05-21,46.305,47.0,46.175,46.65,44.6763,113459200,2019,5,21,Tuesday,0.825
2019-05-22,46.165,46.4275,45.6375,45.695,43.7617,118994400,2019,5,22,Wednesday,0.79
2019-05-23,44.95,45.135,44.4525,44.915,43.0147,146118800,2019,5,23,Thursday,0.6825
2019-05-24,45.05,45.535,44.655,44.7425,42.8495,94858800,2019,5,24,Friday,0.88
2019-05-28,44.73,45.1475,44.4775,44.5575,42.6723,111792800,2019,5,28,Tuesday,0.67
2019-05-29,44.105,44.8375,44.0,44.345,42.4688,113924800,2019,5,29,Wednesday,0.8375
2019-05-30,44.4875,44.8075,44.1675,44.575,42.6891,84873600,2019,5,30,Thursday,0.64
2019-05-31,44.0575,44.4975,43.7475,43.7675,41.9157,108174400,2019,5,31,Friday,0.75
2019-06-03,43.9,44.48,42.5675,43.325,41.4919,161584400,2019,6,3,Monday,1.9125
2019-06-04,43.86,44.9575,43.63,44.91,43.0099,123872000,2019,6,4,Tuesday,1.3275
2019-06-05,46.07,46.2475,45.285,45.635,43.7042,119093600,2019,6,5,Wednesday,0.9625
2019-06-06,45.77,46.3675,45.5375,46.305,44.3459,90105200,2019,6,6,Thursday,0.83
2019-06-07,46.6275,47.98,46.4425,47.5375,45.5262,122737600,2019,6,7,Friday,1.5375
2019-06-10,47.9525,48.8425,47.905,48.145,46.108,104883600,2019,6,10,Monday,0.9375
2019-06-11,48.715,49.0,48.4,48.7025,46.6419,107731600,2019,6,11,Tuesday,0.6
2019-06-12,48.4875,48.9925,48.3475,48.5475,46.4935,73012800,2019,6,12,Wednesday,0.645
2019-06-13,48.675,49.1975,48.4,48.5375,46.4839,86698400,2019,6,13,Thursday,0.7975
2019-06-14,47.8875,48.3975,47.575,48.185,46.1463,75046000,2019,6,14,Friday,0.8225
2019-06-17,48.225,48.74,48.0425,48.4725,46.4217,58676400,2019,6,17,Monday,0.6975
2019-06-18,49.0125,50.0725,48.8025,49.6125,47.5134,106204000,2019,6,18,Tuesday,1.27
2019-06-19,49.92,49.97,49.3275,49.4675,47.3745,84496800,2019,6,19,Wednesday,0.6425
2019-06-20,50.0925,50.1525,49.5075,49.865,47.7552,86056000,2019,6,20,Thursday,0.645
2019-06-21,49.7,50.2125,49.5375,49.695,47.5924,191202400,2019,6,21,Friday,0.675
2019-06-24,49.635,50.04,49.5425,49.645,47.5445,72881600,2019,6,24,Monday,0.4975
2019-06-25,49.6075,49.815,48.8225,48.8925,46.8239,84281200,2019,6,25,Tuesday,0.9925
2019-06-26,49.4425,50.2475,49.3375,49.95,47.8366,104270000,2019,6,26,Wednesday,0.91
2019-06-27,50.0725,50.3925,49.8925,49.935,47.8223,83598800,2019,6,27,Thursday,0.5
2019-06-28,49.67,49.875,49.2625,49.48,47.3865,124442400,2019,6,28,Friday,0.6125
2019-07-01,50.7925,51.1225,50.1625,50.3875,48.2556,109012000,2019,7,1,Monday,0.96
2019-07-02,50.3525,50.7825,50.34,50.6825,48.5381,67740800,2019,7,2,Tuesday,0.4425
2019-07-03,50.82,51.11,50.6725,51.1025,48.9404,45448000,2019,7,3,Wednesday,0.4375
2019-07-05,50.8375,51.27,50.725,51.0575,48.8973,69062000,2019,7,5,Friday,0.545
2019-07-08,50.2025,50.35,49.6025,50.005,47.8893,101354400,2019,7,8,Monday,0.7475
2019-07-09,49.8,50.3775,49.7025,50.31,48.1814,82312000,2019,7,9,Tuesday,0.675
2019-07-10,50.4625,50.9325,50.39,50.8075,48.6579,71588400,2019,7,10,Wednesday,0.5425
2019-07-11,50.8275,51.0975,50.4275,50.4375,48.3035,80767200,2019,7,11,Thursday,0.67
2019-07-12,50.6125,51.0,50.55,50.825,48.6746,70380800,2019,7,12,Friday,0.45
2019-07-15,51.0225,51.4675,51.0,51.3025,49.1319,67789600,2019,7,15,Monday,0.4675
2019-07-16,51.1475,51.5275,50.875,51.125,48.9619,67467200,2019,7,16,Tuesday,0.6525
2019-07-17,51.0125,51.2725,50.8175,50.8375,48.6866,56430000,2019,7,17,Wednesday,0.455
2019-07-18,51.0,51.47,50.925,51.415,49.2397,74162400,2019,7,18,Thursday,0.545
2019-07-19,51.4475,51.625,50.59,50.6475,48.5046,83717200,2019,7,19,Friday,1.035
2019-07-22,50.9125,51.8075,50.9025,51.805,49.6132,89111600,2019,7,22,Monday,0.905
2019-07-23,52.115,52.2275,51.8225,52.21,50.001,73420800,2019,7,23,Tuesday,0.405
2019-07-24,51.9175,52.2875,51.7925,52.1675,49.9603,59966400,2019,7,24,Wednesday,0.495
2019-07-25,52.2225,52.31,51.6825,51.755,49.5653,55638400,2019,7,25,Thursday,0.6275
2019-07-26,51.87,52.4325,51.785,51.935,49.7377,70475600,2019,7,26,Friday,0.6475
2019-07-29,52.115,52.66,52.11,52.42,50.2021,86693600,2019,7,29,Monday,0.55
