Date,Open,High,Low,Close,Adj_Close,Volume,Year,Month,Day,Weekday,Daily_Range
2018-06-25,100.0,100.11,97.3,98.39,91.103,35433300,2018,6,25,Monday,2.81
2018-06-26,98.82,100.08,98.75,99.08,91.7419,26897200,2018,6,26,Tuesday,1.33
2018-06-27,99.58,100.02,97.4,97.54,90.3159,31298400,2018,6,27,Wednesday,2.62
2018-06-28,97.38,99.11,97.26,98.63,91.3252,26650700,2018,6,28,Thursday,1.85
2018-06-29,98.93,99.91,98.33,98.61,91.3067,28053200,2018,6,29,Friday,1.58
2018-07-02,98.1,100.06,98.0,100.01,92.603,19564500,2018,7,2,Monday,2.06
2018-07-03,100.48,100.63,98.94,99.05,91.7141,14670300,2018,7,3,Tuesday,1.69
2018-07-05,99.5,99.92,99.03,99.76,92.3715,18977400,2018,7,5,Thursday,0.89
2018-07-06,99.89,101.43,99.67,101.16,93.6678,19234600,2018,7,6,Friday,1.76
2018-07-09,101.65,102.25,101.25,101.85,94.3067,18212000,2018,7,9,Monday,1.0
2018-07-10,102.0,102.51,101.86,102.12,94.5567,19293100,2018,7,10,Tuesday,0.65
2018-07-11,101.15,102.34,101.1,101.98,94.4271,19644600,2018,7,11,Wednesday,1.24
2018-07-12,102.77,104.41,102.73,104.19,96.4734,24335900,2018,7,12,Thursday,1.68
2018-07-13,104.37,105.6,104.09,105.43,97.6216,24635200,2018,7,13,Friday,1.51
2018-07-16,105.4,105.82,104.52,104.91,97.1401,21786900,2018,7,16,Monday,1.3
2018-07-17,104.61,106.5,104.32,105.95,98.103,25901700,2018,7,17,Tuesday,2.18
2018-07-18,105.94,106.05,104.72,105.12,97.3345,29493900,2018,7,18,Wednesday,1.33
2018-07-19,104.93,105.31,103.89,104.4,96.6678,40171600,2018,7,19,Thursday,1.42
2018-07-20,108.08,108.2,106.08,106.27,98.3993,56004000,2018,7,20,Friday,2.12
2018-07-23,106.3,108.14,106.13,107.97,99.9735,29707000,2018,7,23,Monday,2.01
2018-07-24,108.57,108.82,107.26,107.66,99.6864,26316600,2018,7,24,Tuesday,1.56
2018-07-25,107.96,111.15,107.6,110.83,102.6216,30702100,2018,7,25,Wednesday,3.55
2018-07-26,110.74,111.0,109.5,109.62,101.5013,31372100,2018,7,26,Thursday,1.5
2018-07-27,110.18,110.18,106.14,107.68,99.7049,37005300,2018,7,27,Friday,4.04
2018-07-30,107.19,107.53,104.76,105.37,97.566,34668300,2018,7,30,Monday,2.77
2018-07-31,106.49,106.72,105.38,106.08,98.2234,27655200,2018,7,31,Tuesday,1.34
2018-08-01,106.03,106.45,105.42,106.28,98.4086,23628700,2018,8,1,Wednesday,1.03
2018-08-02,105.4,108.09,104.84,107.57,99.6031,26104300,2018,8,2,Thursday,3.25
2018-08-03,107.8,108.05,106.82,108.04,100.0383,18659600,2018,8,3,Friday,1.23
2018-08-06,108.12,108.42,107.56,108.13,100.1216,20265900,2018,8,6,Monday,0.86
2018-08-07,108.56,109.1,108.17,108.88,100.816,16080200,2018,8,7,Tuesday,0.93
