Date,Open,High,Low,Close,Adj_Close,Volume,Year,Month,Day,Weekday,Daily_Range
2022-02-09,140.9635,142.5245,140.187,141.592,140.4313,40144000,2022,2,9,Wednesday,2.3375
2022-02-10,139.7035,141.4845,137.957,138.62,137.4837,39330000,2022,2,10,Thursday,3.5275
2022-02-11,138.6,139.1565,133.4,134.2825,133.1817,39958000,2022,2,11,Friday,5.7565
2022-02-14,133.2565,136.3,133.2565,135.526,134.4151,34302000,2022,2,14,Monday,3.0435
2022-02-15,137.5705,138.1085,135.8215,136.6085,135.4887,26680000,2022,2,15,Tuesday,2.287
2022-02-16,136.6465,138.086,134.924,137.738,136.6089,25022000,2022,2,16,Wednesday,3.162
2022-02-17,136.243,137.1135,132.4785,132.539,131.4526,38950000,2022,2,17,Thursday,4.635
2022-02-18,133.467,134.07,130.1965,130.403,129.3341,45620000,2022,2,18,Friday,3.8735
2022-02-22,129.838,132.1805,128.2235,129.8135,128.7494,44990000,2022,2,22,Tuesday,3.957
2022-02-23,131.6485,132.051,127.5275,127.588,126.5421,32786000,2022,2,23,Wednesday,4.5235
2022-02-24,124.9535,133.0,124.9535,132.691,131.6033,54456000,2022,2,24,Thursday,8.0465
2022-02-25,133.552,135.2715,131.7515,134.4595,133.3573,36406000,2022,2,25,Friday,3.52
2022-02-28,133.05,135.7515,132.5925,135.057,133.9499,38864000,2022,2,28,Monday,3.159
2022-03-01,134.8785,136.2555,133.2185,134.0615,132.9626,26496000,2022,3,1,Tuesday,3.037
2022-03-02,134.628,135.2625,133.0715,134.5715,133.4684,23520000,2022,3,2,Wednesday,2.191
2022-03-03,136.01,136.4395,133.0255,133.8995,132.8019,24604000,2022,3,3,Thursday,3.414
2022-03-04,132.9275,133.8515,130.3375,131.9065,130.8252,30430000,2022,3,4,Friday,3.514
2022-03-07,131.488,131.735,126.295,126.3785,125.3425,45112000,2022,3,7,Monday,5.44
2022-03-08,126.25,131.25,125.6745,127.1045,126.0626,40428000,2022,3,8,Tuesday,5.5755
2022-03-09,131.25,133.7355,129.9005,133.42,132.3263,37026000,2022,3,9,Wednesday,3.835
2022-03-10,131.266,133.272,130.9125,132.4295,131.3439,27102000,2022,3,10,Thursday,2.3595
2022-03-11,133.4885,133.7955,129.6315,129.8705,128.8059,31526000,2022,3,11,Friday,4.164
2022-03-14,130.25,130.409,125.275,125.951,124.9185,38812000,2022,3,14,Monday,5.134
2022-03-15,126.976,129.8545,125.7205,129.198,128.1389,30920000,2022,3,15,Tuesday,4.134
2022-03-16,130.733,133.333,128.7345,133.2805,132.188,35576000,2022,3,16,Wednesday,4.5985
2022-03-17,133.149,134.0805,132.185,133.839,132.7419,28264000,2022,3,17,Thursday,1.8955
2022-03-18,133.4245,136.244,132.2585,136.1255,135.0097,44566000,2022,3,18,Friday,3.9855
2022-03-21,136.1635,137.05,134.0925,136.1015,134.9858,26832000,2022,3,21,Monday,2.9575
2022-03-22,136.1015,141.05,136.1015,139.868,138.7214,35496000,2022,3,22,Tuesday,4.9485
2022-03-23,138.7025,139.5885,137.835,138.2755,137.142,25154000,2022,3,23,Wednesday,1.7535
2022-03-24,139.2,141.619,137.7505,141.572,140.4115,26396000,2022,3,24,Thursday,3.8685
2022-03-25,141.916,142.035,139.7375,141.673,140.5117,24126000,2022,3,25,Friday,2.2975
2022-03-28,140.9005,142.0025,139.8115,141.4555,140.296,35050000,2022,3,28,Monday,2.191
2022-03-29,142.6475,143.7935,142.0385,142.5055,141.3373,34318000,2022,3,29,Tuesday,1.755
2022-03-30,142.46,142.7205,141.6,141.9385,140.775,19884000,2022,3,30,Wednesday,1.1205
2022-03-31,142.053,142.108,139.0245,139.0675,137.9275,37524000,2022,3,31,Thursday,3.0835
2022-04-01,139.5,140.471,138.3075,140.1505,139.0016,25942000,2022,4,1,Friday,2.1635
2022-04-04,140.3585,143.712,140.3105,142.9715,141.7995,25942000,2022,4,4,Monday,3.4015
2022-04-05,142.869,142.9905,140.3825,140.591,139.4386,21418000,2022,4,5,Tuesday,2.608
2022-04-06,138.75,139.3605,135.517,136.548,135.4287,32468000,2022,4,6,Wednesday,3.8435
2022-04-07,136.01,137.1645,134.2275,135.8885,134.7746,26234000,2022,4,7,Thursday,2.937
2022-04-08,135.5835,135.67,132.9655,133.2875,132.1949,25142000,2022,4,8,Friday,2.7045
2022-04-11,131.8235,132.0925,128.6685,128.8235,127.7675,36884000,2022,4,11,Monday,3.424
2022-04-12,131.6,131.6,126.789,127.7145,126.6676,32710000,2022,4,12,Tuesday,4.811
2022-04-13,128.0,130.334,127.741,129.894,128.8292,27928000,2022,4,13,Wednesday,2.593
2022-04-14,130.4795,130.4795,126.601,126.73,125.6912,31598000,2022,4,14,Thursday,3.8785
2022-04-18,127.0,128.2125,126.182,127.6765,126.6299,20808000,2022,4,18,Monday,2.0305
2022-04-19,127.6915,130.333,126.9995,130.009,128.9433,26490000,2022,4,19,Tuesday,3.3335
2022-04-20,130.892,131.399,127.5,128.04,126.9904,31696000,2022,4,20,Wednesday,3.899
